"name","group","element","units","context","S352126","S352127","S352128","S352129","S352130","S352131","S352132","S352133","S352134","S352135","S352136","S352137","S352138","S352139","S352140","S352141","S352142","S352143","S352144","S352145","S352146","S352147","S352148","S352149","S352150","S352151","S352152","S352153","S352154","S352155","S352156","S352157","S352158","S352159","S352160","S352161","S352162","S352163","S352164","S352165","S352166","S352167","S352168","S352169","S352170","S352171","S352172","S352173","S352174","S352175","S352176","S352177","S352178","S352179","S352180","S352181","S352182","S352183","S352184","S352185","S352186","S352187","S352188","S352189","S352190","S352191","S352192","S352193"
Poaceae,UPHE,pollen,NISP,,56,62,90,131,74,85,87,105,85,65,38,63,82,100,132,97,77,61,50,33,75,41,40,60,58,80,35,58,78,32,32,35,26,45,45,59,77,86,48,62,51,96,83,101,58,180,66,55,67,37,65,54,40,30,63,51,21,42,28,51,71,38,67,73,108,88,50,74
Polypodiophyta,VACR,spore,NISP,,84,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,1,3,1,,,,,,,1,,,,,,,,,2,,,,,,,
Polypodium,VACR,spore,NISP,,3,,1,,,,,,1,,,,,1,,,1,,,,1,,,,,,,,1,1,1,1,,,,,,,,,1,,,,,1,,4,,,,,1,,1,2,,9,,5,,,1,,,,,
Potamogeton,AQVP,pollen,NISP,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Pteridium,VACR,spore,NISP,,,4,2,1,1,2,,4,6,2,3,1,3,4,,3,6,8,4,4,,5,1,,2,2,1,,1,1,2,2,3,,2,8,,1,1,9,,2,4,4,8,5,10,1,,2,5,3,6,47,7,5,1,2,2,,3,8,2,9,9,2,,
Quercus ilex-type,TRSH,pollen,NISP,,7,7,14,5,13,5,14,9,6,14,31,6,3,19,8,11,7,8,17,5,35,20,36,9,26,12,19,8,11,15,25,11,46,14,14,9,6,6,1,11,12,8,8,9,5,50,10,15,12,33,12,18,12,18,9,27,13,16,6,3,1,2,12,,1,2,,
Quercus robur-type,TRSH,pollen,NISP,,4,4,5,8,24,8,28,6,9,6,41,14,19,5,7,22,17,35,41,29,12,14,21,5,8,5,4,3,4,8,43,12,34,3,23,14,2,8,5,9,38,10,15,3,15,28,17,25,14,13,4,6,13,22,9,23,6,3,28,7,10,7,23,10,27,18,8,2
Quercus undiff.,TRSH,pollen,NISP,,5,61,10,43,66,84,26,65,69,95,53,125,99,103,9,62,34,129,69,127,29,152,93,89,116,97,16,107,128,168,107,181,100,125,103,73,7,78,25,53,26,62,90,91,85,93,94,35,109,82,96,122,118,35,124,78,86,16,162,192,87,179,19,148,54,97,,8
Ranunculus,UPHE,pollen,NISP,,14,1,3,1,,5,2,2,2,,,,2,,7,3,9,1,2,,12,,1,2,,,1,1,2,,,5,5,1,,2,11,,1,1,2,,1,2,1,6,4,11,3,,3,,3,4,2,3,2,2,2,,4,,3,,5,,20,
Rhamnus,TRSH,pollen,NISP,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosaceae,UPHE,pollen,NISP,,,6,,5,6,9,3,7,3,7,1,10,5,8,,5,,4,,8,,20,,10,10,12,5,11,15,14,,14,,17,16,13,,5,5,,3,11,1,9,12,1,20,,15,16,14,23,23,14,17,,53,3,15,3,2,6,,3,7,6,,1
Rumex acetosa,UPHE,pollen,NISP,,,,18,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,5,,4,,,,,,1,,,,4,,,3,,4,,,,,
Rumex acetosella,UPHE,pollen,NISP,,,7,12,7,13,7,2,9,10,11,3,4,4,3,,12,4,3,5,1,,4,5,5,4,2,,5,4,1,6,4,7,7,8,1,,4,4,13,1,5,7,1,,15,1,13,9,13,14,8,11,13,8,13,6,12,10,,,2,4,6,9,18,,4
Rumex undiff.,UPHE,pollen,NISP,,2,,,,,,,,,,,,,,5,,,,5,,31,,7,,,,,,,,12,,13,,,,25,,,4,,,,,,2,,,,,,,,12,,9,,,,,,,,,,,6,
Salix,TRSH,pollen,NISP,,2,,6,,1,1,,4,1,1,1,,2,3,2,,,,,1,,3,,,,4,,,1,,2,1,,2,3,2,,2,1,7,,1,,1,,3,1,1,,,,2,2,,,,7,3,2,8,1,4,,1,1,,,
Sample quantity,LABO,volume,cm^3,,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515
Secale cereale,UPHE,pollen,NISP,,,,3,,,1,2,1,2,1,,1,,,,3,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Sinapis-type,UPHE,pollen,NISP,,1,2,3,1,,,3,3,,1,1,,3,,1,1,3,,1,,1,,,,,,,,1,,,,1,,,2,,,1,,,,2,,1,,4,1,4,1,1,,,,,,,,,,,1,,,,,,
Stuckenia,AQVP,pollen,NISP,,,,,1,,1,3,,,,1,,3,2,10,,7,,10,,,,,,,,,,1,,,,1,,5,4,,1,4,7,4,1,6,2,3,2,3,1,1,,,,,,,,,,,,1,,,3,,,,
Thalictrum,UPHE,pollen,NISP,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thelypteris palustris-type,VACR,spore,NISP,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,1,,,
Tilia,TRSH,pollen,NISP,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,1,,,1,,,,,1,,,,,1,1,19,3,3,1,1,12,1,3,,3,
Trifolium,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
